NAME OF DATA ELEMENT,dev-category,developer-friendly name,API data type,VARIABLE NAME,VALUE,LABEL,SOURCE,NOTES
Carnegie Classification -- undergraduate profile,school,carnegie_undergrad,integer,CCUGPROF,1,Higher part-time two-year (associate’s degree-granting institutions with at least 60 percent of undergraduates enrolled part-time),IPEDS,
,,,,,2,Mixed part/full-time two-year (associate’s degree-granting institutions with 40 to 59 percent of undergraduates enrolled part-time),,
,,,,,3,Medium full-time two-year (associate’s degree-granting institutions with 10 to 39 percent of undergraduates enrolled part-time),,
,,,,,4,Higher full-time two-year (associate’s degree-granting institutions with less than 10 percent of undergraduates enrolled part-time),,
,,,,,5,Higher part-time four-year (bachelor’s degree-granting institutions with at least 40 percent of undergraduates enrolled part-time),,
,,,,,6,"Medium full-time four-year, inclusive (bachelor’s degree-granting institutions with 60 to 79 percent of undergraduates enrolled full-time that either did not report test score data or the scores indicate that they provide educational opportunity to students with varying levels academic preparation and achievement)",,
,,,,,7,"Medium full-time four-year, selective, lower transfer-in (bachelor’s degree-granting institutions with 60 to 79 percent of undergraduates enrolled full-time, that are selective in admissions, and where less than 20 percent of entering undergraduates are transfer students)",,
,,,,,8,"Medium full-time four-year, selective, higher transfer-in (bachelor’s degree-granting institutions with 60 to 79 percent of undergraduates enrolled full-time, that are selective in admissions, and where at least 20 percent of entering undergraduates are transfer students)",,
,,,,,9,"Full-time four-year, inclusive (bachelor’s degree-granting institutions with at least 80 percent of undergraduates enrolled full-time that either did not report test score data or the scores indicate that they provide educational opportunity to students with varying levels academic preparation and achievement)",,
,,,,,10,"Full-time four-year, selective, lower transfer-in (bachelor’s degree-granting institutions with at least 80 percent of undergraduates enrolled full-time, that are selective in admissions, and where less than 20 percent of entering undergraduates are transfer students)",,
,,,,,11,"Full-time four-year, selective, higher transfer-in (bachelor’s degree-granting institutions with at least 80 percent of undergraduates enrolled full-time, that are selective in admissions, and where at least 20 percent of entering undergraduates are transfer students)",,
,,,,,12,"Full-time four-year, more selective, lower transfer-in (bachelor’s degree-granting institutions with at least 80 percent of undergraduates enrolled full-time, that are more selective in admissions, and where less than 20 percent of entering undergraduates are transfer students)",,
,,,,,13,"Full-time four-year, more selective, higher transfer-in (bachelor’s degree-granting institutions with at least 80 percent of undergraduates enrolled full-time, that are more selective in admissions, and where at least 20 percent of entering undergraduates are transfer students)",,
,,,,,14,Not classified or not applicable,,
Carnegie Classification -- size and setting,school,carnegie_size_setting,integer,CCSIZSET,1,"Very small 2-year (confers associate’s degrees, FTE enrollment less than 500)",IPEDS,
,,,,,2,"Small 2-year (confers associate’s degrees, FTE enrollment 500 to 1,999)",,
,,,,,3,"Medium 2-year (confers associate’s degrees, FTE enrollment 2000 to 4,999)",,
,,,,,4,"Large 2-year (confers associate’s degrees, FTE enrollment 5000 to 9,999)",,
,,,,,5,"Very large 2-year (confers associate’s degrees, FTE enrollment 10,000 or more)",,
,,,,,6,"Very small 4-year, primarily nonresidential (confers bachelor’s degrees, FTE enrollment less than 1,000, less than 25 percent of degree-seeking undergraduates live on campus and/or less than 50 percent attend full time)",,
,,,,,7,"Very small 4-year, primarily residential (confers bachelor’s degrees, FTE enrollment less than 1,000, 25 to 49 percent of degree-seeking undergraduates live on campus and at least 50 percent attend full time)",,
,,,,,8,"Very small 4-year, highly residential (confers bachelor’s degrees, FTE enrollment less than 1,000, at least 50 percent of degree-seeking undergraduates live on campus and at least 80 percent attend full time)",,
,,,,,9,"Small 4-year, primarily nonresidential (confers bachelor’s degrees, FTE enrollment 1,000 to 2,999, less than 25 percent of degree-seeking undergraduates live on campus and/or less than 50 percent attend full time)",,
,,,,,10,"Small 4-year, primarily residential (confers bachelor’s degrees, FTE enrollment 1,000 to 2,999, 25 to 49 percent of degree-seeking undergraduates live on campus and at least 50 percent attend full time)",,
,,,,,11,"Small 4-year, highly residential (confers bachelor’s degrees, FTE enrollment 1,000 to 2,999, at least 50 percent of degree-seeking undergraduates live on campus and at least 80 percent attend full time)",,
,,,,,12,"Medium 4-year, primarily nonresidential (confers bachelor’s degrees, FTE enrollment 3,000 to 9,999, less than 25 percent of degree-seeking undergraduates live on campus and/or less than 50 percent attend full time)",,
,,,,,13,"Medium 4-year, primarily residential (confers bachelor’s degrees, FTE enrollment 3,000 to 9,999, 25 to 49 percent of degree-seeking undergraduates live on campus and at least 50 percent attend full time)",,
,,,,,14,"Medium 4-year, highly residential (confers bachelor’s degrees, FTE enrollment 3,000 to 9,999, at least 50 percent of degree-seeking undergraduates live on campus and at least 80 percent attend full time)",,
,,,,,15,"Large 4-year, primarily nonresidential (confers bachelor’s degrees, FTE enrollment over 9,999, less than 25 percent of degree-seeking undergraduates live on campus and/or less than 50 percent attend full time)",,
,,,,,16,"Large 4-year, primarily residential (confers bachelor’s degrees, FTE enrollment over 9,999, 25 to 49 percent of degree-seeking undergraduates live on campus and at least 50 percent attend full time)",,
,,,,,17,"Large 4-year, highly residential (confers bachelor’s degrees, FTE enrollment over 9,999, at least 50 percent of degree-seeking undergraduates live on campus and at least 80 percent attend full time)",,
,,,,,18,"Not applicable, special-focus institution",,
Flag for Historically Black College and University,school,minority_serving.historically_black,integer,HBCU,0,No,OPE,
,,,,,1,Yes,,
Flag for predominantly black institution,school,minority_serving.predominantly_black,integer,PBI,0,No,OPE,
,,,,,1,Yes,,
Flag for Alaska Native Native Hawaiian serving institution,school,minority_serving.annh,integer,ANNHI,0,No,OPE,
,,,,,1,Yes,,
Flag for tribal college and university,school,minority_serving.tribal,integer,TRIBAL,0,No,OPE,
,,,,,1,Yes,,
Flag for Asian American Native American Pacific Islander-serving institution,school,minority_serving.aanipi,integer,AANAPII,0,No,OPE,
,,,,,1,Yes,,
Flag for Hispanic-serving institution,school,minority_serving.hispanic,integer,HSI,0,No,OPE,
,,,,,1,Yes,,
Flag for Native American non-tribal institution,school,minority_serving.nant,integer,NANTI,0,No,OPE,
,,,,,1,Yes,,
Flag for men-only college,school,men_only,integer,MENONLY,0,No,IPEDS,
,,,,,1,Yes,,
Flag for women-only college,school,women_only,integer,WOMENONLY,0,No,IPEDS,
,,,,,1,Yes,,
Religous affiliation of the institution,school,religious_affiliation,integer,RELAFFIL,-1,Not reported,IPEDS,
,,,,,-2,Not applicable,,
,,,,,22,American Evangelical Lutheran Church,,
,,,,,24,African Methodist Episcopal Zion Church,,
,,,,,27,Assemblies of God Church,,
,,,,,28,Brethren Church,,
,,,,,30,Roman Catholic,,
,,,,,33,Wisconsin Evangelical Lutheran Synod,,
,,,,,34,Christ and Missionary Alliance Church,,
,,,,,35,Christian Reformed Church,,
,,,,,36,Evangelical Congregational Church,,
,,,,,37,Evangelical Covenant Church of America,,
,,,,,38,Evangelical Free Church of America,,
,,,,,39,Evangelical Lutheran Church,,
,,,,,40,International United Pentecostal Church,,
,,,,,41,Free Will Baptist Church,,
,,,,,42,Interdenominational,,
,,,,,43,Mennonite Brethren Church,,
,,,,,44,Moravian Church,,
,,,,,45,North American Baptist,,
,,,,,47,Pentecostal Holiness Church,,
,,,,,48,Christian Churches and Churches of Christ,,
,,,,,49,Reformed Church in America,,
,,,,,50,"Episcopal Church, Reformed",,
,,,,,51,African Methodist Episcopal,,
,,,,,52,American Baptist,,
,,,,,53,American Lutheran,,
,,,,,54,Baptist,,
,,,,,55,Christian Methodist Episcopal,,
,,,,,57,Church of God,,
,,,,,58,Church of Brethren,,
,,,,,59,Church of the Nazarene,,
,,,,,60,Cumberland Presbyterian,,
,,,,,61,Christian Church (Disciples of Christ),,
,,,,,64,Free Methodist,,
,,,,,65,Friends,,
,,,,,66,Presbyterian Church (USA),,
,,,,,67,Lutheran Church in America,,
,,,,,68,Lutheran Church - Missouri Synod,,
,,,,,69,Mennonite Church,,
,,,,,71,United Methodist,,
,,,,,73,Protestant Episcopal,,
,,,,,74,Churches of Christ,,
,,,,,75,Southern Baptist,,
,,,,,76,United Church of Christ,,
,,,,,77,"Protestant, not specified",,
,,,,,78,Multiple Protestant Denomination,,
,,,,,79,Other Protestant,,
,,,,,80,Jewish,,
,,,,,81,Reformed Presbyterian Church,,
,,,,,84,United Brethren Church,,
,,,,,87,Missionary Church Inc,,
,,,,,88,Undenominational,,
,,,,,89,Wesleyan,,
,,,,,91,Greek Orthodox,,
,,,,,92,Russian Orthodox,,
,,,,,93,Unitarian Universalist,,
,,,,,94,Latter Day Saints (Mormon Church),,
,,,,,95,Seventh Day Adventists,,
,,,,,97,The Presbyterian Church in America,,
,,,,,99,Other (none of the above),,
,,,,,100,Original Free Will Baptist,,
,,,,,101,Ecumenical Christian,,
,,,,,102,Evangelical Christian,,
,,,,,103,Presbyterian,,
Admission rate,admissions,admission_rate.overall,float,ADM_RATE,,,IPEDS,
Admission rate for all campuses rolled up to the 6-digit OPE ID,admissions,admission_rate.by_ope_id,float,ADM_RATE_ALL,,,IPEDS,
25th percentile of SAT scores at the institution (critical reading),admissions,sat_scores.25th_percentile.critical_reading,float,SATVR25,,,IPEDS,
75th percentile of SAT scores at the institution (critical reading),admissions,sat_scores.75th_percentile.critical_reading,float,SATVR75,,,IPEDS,
25th percentile of SAT scores at the institution (math),admissions,sat_scores.25th_percentile.math,float,SATMT25,,,IPEDS,
75th percentile of SAT scores at the institution (math),admissions,sat_scores.75th_percentile.math,float,SATMT75,,,IPEDS,
25th percentile of SAT scores at the institution (writing),admissions,sat_scores.25th_percentile.writing,float,SATWR25,,,IPEDS,
75th percentile of SAT scores at the institution (writing),admissions,sat_scores.75th_percentile.writing,float,SATWR75,,,IPEDS,
Midpoint of SAT scores at the institution (critical reading),admissions,sat_scores.midpoint.critical_reading,float,SATVRMID,,,IPEDS,
Midpoint of SAT scores at the institution (math),admissions,sat_scores.midpoint.math,float,SATMTMID,,,IPEDS,
Midpoint of SAT scores at the institution (writing),admissions,sat_scores.midpoint.writing,float,SATWRMID,,,IPEDS,
25th percentile of the ACT cumulative score,admissions,act_scores.25th_percentile.cumulative,float,ACTCM25,,,IPEDS,
75th percentile of the ACT cumulative score,admissions,act_scores.75th_percentile.cumulative,float,ACTCM75,,,IPEDS,
25th percentile of the ACT English score,admissions,act_scores.25th_percentile.english,float,ACTEN25,,,IPEDS,
75th percentile of the ACT English score,admissions,act_scores.75th_percentile.english,float,ACTEN75,,,IPEDS,
25th percentile of the ACT math score,admissions,act_scores.25th_percentile.math,float,ACTMT25,,,IPEDS,
75th percentile of the ACT math score,admissions,act_scores.75th_percentile.math,float,ACTMT75,,,IPEDS,
25th percentile of the ACT writing score,admissions,act_scores.25th_percentile.writing,float,ACTWR25,,,IPEDS,
75th percentile of the ACT writing score,admissions,act_scores.75th_percentile.writing,float,ACTWR75,,,IPEDS,
Midpoint of the ACT cumulative score,admissions,act_scores.midpoint.cumulative,float,ACTCMMID,,,IPEDS,
Midpoint of the ACT English score,admissions,act_scores.midpoint.english,float,ACTENMID,,,IPEDS,
Midpoint of the ACT math score,admissions,act_scores.midpoint.math,float,ACTMTMID,,,IPEDS,
Midpoint of the ACT writing score,admissions,act_scores.midpoint.writing,float,ACTWRMID,,,IPEDS,
Average SAT equivalent score of students admitted,admissions,sat_scores.average.overall,float,SAT_AVG,,,IPEDS,
Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID,admissions,sat_scores.average.by_ope_id,float,SAT_AVG_ALL,,,IPEDS,
In-state tuition and fees,cost,tuition.in_state,integer,TUITIONFEE_IN,,,IPEDS,
Out-of-state tuition and fees,cost,tuition.out_of_state,integer,TUITIONFEE_OUT,,,IPEDS,
Tuition and fees for program-year institutions,cost,tuition.program_year,integer,TUITIONFEE_PROG,,,IPEDS,
Net tuition revenue per full-time equivalent student,school,tuition_revenue_per_fte,integer,TUITFTE, ,,IPEDS,"Net tuition revenue (tuition revenue minus discounts and allowances) divided by the number of FTE students (undergraduates and graduate students) (http://nces.ed.gov/ipeds/glossary/index.asp?id=854). Net tuition revenue is included in the IPEDS Finances component and FTE enrollment is included in the IPEDS 12-month enrollment component. This metric includes graduate students. 
"
Instructional expenditures per full-time equivalent student,school,instructional_expenditure_per_fte,integer,INEXPFTE, ,,IPEDS,"Instructional expenditures divided by the number of FTE students (undergraduates and graduate students) (http://nces.ed.gov/ipeds/glossary/index.asp?id=854). Instructional expenditures are included in the IPEDS Finances component and FTE enrollment is included in the IPEDS 12-month enrollment component. This metric includes graduate students. 
"
Average faculty salary,school,faculty_salary,integer,AVGFACSAL, ,,IPEDS,"Average faculty salary per month, calculated from the IPEDS Human Resources component. This metric is calculated as the total salary outlays divided by the number of months worked for all full-time nonmedical instructional staff. Prior to the 2011–12 academic year, when months worked were reported in groups, the value for 9–10 months is estimated as 9.5 months and the value for 11–12 months is estimated as 11.5 months. Values prior to the 2003–04 academic year are limited to degree-granting institutions for consistency with values in subsequent academic years.
"
Proportion of faculty that is full-time,school,ft_faculty_rate,float,PFTFAC, ,,IPEDS,"Proportion of faculty that are employed full time, calculated from the IPEDS Human Resources component. This metric is calculated as the number of full-time nonmedical faculty divided by the total number of nonmedical faculty. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.
"
Percentage of undergraduates who receive a Pell Grant,aid,pell_grant_rate,float,PCTPELL, ,,IPEDS,"The proportion of undergraduates who received a Pell grant in the academic year, calculated from the IPEDS Student Financial Aid component. This metric is calculated by IPEDS as the quotient of the number of Pell grant recipients divided by the count of all undergraduates for either a fall enrollment cohort (for institutions that primarily follow an academic year calendar system) or a full-year enrollment cohort (for institutions that primarily follow a continuous enrollment or program-based calendar system). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. This metric is not available prior to the 2008–09 academic year.
"
"First-time, full-time student retention rate at four-year institutions",student,retention_rate.four_year.full_time,float,RET_FT4,,,IPEDS,"The proportion of full-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall 1 year after starting at the institution, calculated from the IPEDS Fall Enrollment component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. The retention rate is calculated as the number of full-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall term of the current academic year divided by the number of full-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year. This metric is not available prior to the 2004–05 academic year. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent."
"First-time, full-time student retention rate at less-than-four-year institutions",student,retention_rate.lt_four_year.full_time,float,RET_FTL4,,,IPEDS,
"First-time, part-time student retention rate at four-year institutions",student,retention_rate.four_year.part_time,float,RET_PT4,,,IPEDS,"The proportion of part-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall 1 year after starting at the institution, calculated from the IPEDS Fall Enrollment component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. The retention rate is calculated as the number of part-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall term of the current academic year divided by the number of part-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year. This metric is not available prior to the 2004–05 academic year. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.
"
"First-time, part-time student retention rate at less-than-four-year institutions",student,retention_rate.lt_four_year.part_time,float,RET_PTL4,,,IPEDS,
Percent of all federal undergraduate students receiving a federal student loan,aid,federal_loan_rate,float,PCTFLOAN, ,,IPEDS,"The proportion of undergraduates who received a federal loan in the academic year, calculated from values from the IPEDS Student Financial Aid component. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. This metric is not available prior to the 2009–10 academic year.
"
Percentage of undergraduates aged 25 and above,student,share_25_older,float,UG25abv, ,,IPEDS,The proportion of undergraduates who are aged 25 or older
Two-year cohort default rate,repayment,2_yr_default_rate,float,CDR2, ,,FSA,"A 2-year cohort default rate is the percentage of a school's borrowers who enter repayment on certain Federal Family Education Loan (FFEL) Program or William D. Ford Federal Direct Loan (Direct Loan) Program loans during a particular federal fiscal year (FY), October 1 to September 30, and default or meet other specified conditions prior to the end of the first following fiscal year. Please refer to the Cohort Default Rate Guide for a more in-depth description of cohort default rates and how the rates are calculated."
Three-year cohort default rate,repayment,3_yr_default_rate,float,CDR3, ,,FSA,"A 3-year cohort default rate is the percentage of a school's borrowers who enter repayment on certain Federal Family Education Loan (FFEL) Program or William D. Ford Federal Direct Loan (Direct Loan) Program loans during a particular federal fiscal year (FY), October 1 to September 30, and default or meet other specified conditions prior to the end of the second following fiscal year. Please refer to the Cohort Default Rate Guide for a more in-depth description of cohort default rates and how the rates are calculated."
Percent died within 2 years at original institution,completion,title_iv.died_by.2yrs,float,DEATH_YR2_RT,,,NSLDS,
Percent completed within 2 years at original institution,completion,title_iv.completed_by.2yrs,float,COMP_ORIG_YR2_RT,,,NSLDS,
Percent who transferred to a 4-year institution and completed within 2 years,completion,title_iv.transf_completed_4yr_by.2yrs,float,COMP_4YR_TRANS_YR2_RT,,,NSLDS,
Percent who transferred to a 2-year institution and completed within 2 years,completion,title_iv.transf_completed_2yr_by.2yrs,float,COMP_2YR_TRANS_YR2_RT,,,NSLDS,
Percent withdrawn from original institution within 2 years ,completion,title_iv.withdrawn_by.2yrs,float,WDRAW_ORIG_YR2_RT,,,NSLDS,
Percent who transferred to a 4-year institution and withdrew within 2 years ,completion,title_iv.transf_withdrawn_4yr_by.2yrs,float,WDRAW_4YR_TRANS_YR2_RT,,,NSLDS,
Percent who transferred to a 2-year institution and withdrew within 2 years ,completion,title_iv.transf_withdrawn_2yr_by.2yrs,float,WDRAW_2YR_TRANS_YR2_RT,,,NSLDS,
Percent still enrolled at original institution within 2 years ,completion,title_iv.still_enrolled_by.2yrs,float,ENRL_ORIG_YR2_RT,,,NSLDS,
Percent who transferred to a 4-year institution and were still enrolled within 2 years ,completion,title_iv.transf_still_enrolled_4yr_by.2yrs,float,ENRL_4YR_TRANS_YR2_RT,,,NSLDS,
Percent who transferred to a 2-year institution and were still enrolled within 2 years,completion,title_iv.transf_still_enrolled_2yr_by.2yrs,float,ENRL_2YR_TRANS_YR2_RT,,,NSLDS,
Percent with status unknown within 2 years at original institution,completion,title_iv.unknown_by.2yrs,float,UNKN_ORIG_YR2_RT,,,NSLDS,
Percent who transferred to a 4-year institution and whose status is unknown within 2 years,completion,title_iv.transf_unknown_4yr_by.2yrs,float,UNKN_4YR_TRANS_YR2_RT,,,NSLDS,
Percent who transferred to a 2-year institution and whose status is unknown within 2 years,completion,title_iv.transf_unknown_2yr_by.2yrs,float,UNKN_2YR_TRANS_YR2_RT,,,NSLDS,
"Percent of low-income (less than $30,000 in nominal family income) students who died within 2 years at original institution",completion,title_iv.low_inc.died_by.2yrs,float,LO_INC_DEATH_YR2_RT,,,NSLDS,
"Percent of low-income (less than $30,000 in nominal family income) students who completed within 2 years at original institution",completion,title_iv.low_inc.completed_by.2yrs,float,LO_INC_COMP_ORIG_YR2_RT,,,NSLDS,
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and completed within 2 years",completion,title_iv.low_inc.transf_completed_4yr_by.2yrs,float,LO_INC_COMP_4YR_TRANS_YR2_RT,,,NSLDS,
